Date,Value
1397/05/03,108800
1397/05/04,108800
1397/05/05,108800
1397/05/06,111878
1397/05/07,113852
1397/05/08,116760
1397/05/09,121174
1397/05/10,123951
1397/05/13,124354
1397/05/14,128448
1397/05/15,133328
1397/05/16,133584
1397/05/17,131522
1397/05/20,129014
1397/05/21,129902
1397/05/22,128523
1397/05/23,130928
1397/05/24,130477
1397/05/27,131536
1397/05/28,134355
1397/05/29,137073
1397/05/30,136911
1397/06/03,136343
1397/06/04,138583
1397/06/05,140309
1397/06/06,136766
1397/06/07,137472
1397/06/10,136110
1397/06/11,133676
1397/06/12,135258
1397/06/13,137984
1397/06/14,137714
1397/06/17,139629
1397/06/18,142234
1397/06/19,146999
1397/06/20,148578
1397/06/21,155061
1397/06/24,158119
1397/06/25,155710
1397/06/26,158072
1397/06/27,157329
1397/06/31,160538
1397/07/01,165072
1397/07/02,168625
1397/07/03,174618
1397/07/04,180636
1397/07/07,187406
1397/07/08,195104
1397/07/09,195480
1397/07/10,188259
1397/07/11,185559
1397/07/14,184085
1397/07/15,176419
1397/07/16,175186
1397/07/17,180848
1397/07/18,181016
1397/07/21,175033
1397/07/22,174826
1397/07/23,180602
1397/07/24,182834
1397/07/25,182929
1397/07/28,188576
1397/07/29,189438
1397/07/30,187779
1397/08/01,185319
1397/08/02,181060
1397/08/05,178841
1397/08/06,180627
1397/08/07,183220
1397/08/09,183367
1397/08/12,183449
1397/08/13,182919
1397/08/14,184160
1397/08/15,185100
1397/08/19,184231
1397/08/20,180668
1397/08/21,182212
1397/08/22,183212
1397/08/23,181994
1397/08/26,178819
1397/08/27,173558
1397/08/28,175816
1397/08/29,176459
1397/08/30,175713
1397/09/03,171253
1397/09/05,166464
1397/09/06,167200
1397/09/07,163772
1397/09/10,159854
1397/09/11,163138
1397/09/12,166304
1397/09/13,165702
1397/09/14,166860
1397/09/17,167083
1397/09/18,166891
1397/09/19,166916
1397/09/20,166235
1397/09/21,165352
1397/09/24,164486
1397/09/25,161708
1397/09/26,159750
1397/09/27,159146
1397/09/28,156083
1397/10/01,154550
1397/10/02,156694
1397/10/03,157484
1397/10/04,156950
1397/10/05,158444
1397/10/08,160774
1397/10/09,161310
1397/10/10,161405
1397/10/11,161841
1397/10/12,160899
1397/10/15,161107
1397/10/16,161276
1397/10/17,162324
1397/10/18,163967
1397/10/19,164829
1397/10/22,164930
1397/10/23,164494
1397/10/24,164696
1397/10/25,165446
1397/10/26,165595
1397/10/29,166131
1397/10/30,165575
1397/11/01,161922
1397/11/02,162806
1397/11/03,162941
1397/11/06,162478
1397/11/07,160798
1397/11/08,159818
1397/11/09,160153
1397/11/10,160295
1397/11/13,159855
1397/11/14,157355
1397/11/15,158044
1397/11/16,158394
1397/11/17,158536
1397/11/21,158468
1397/11/23,157973
1397/11/24,157311
1397/11/27,157114
1397/11/28,156155
1397/11/29,156705
1397/11/30,157388
1397/12/01,159490
1397/12/04,164268
1397/12/05,166030
1397/12/06,166794
1397/12/07,164712
1397/12/08,165295
1397/12/11,164370
1397/12/12,164443
1397/12/13,164239
1397/12/14,162594
1397/12/15,162827
1397/12/18,163007
1397/12/19,164470
1397/12/20,167372
1397/12/21,167910
1397/12/22,169116
1397/12/25,171125
1397/12/26,172522
1397/12/27,175899
1397/12/28,178659
